parameter,value,distribute
k1_10,0.083333333,1
k1_12,0.025,1
k1_13,0.083333333,1
k1_14,0.041666667,1
k1_16,0.004166667,0
k1_18,0.166666667,0
k1_19,0.333333333,0
k1_20,0.166666667,0
k1_22,0.016666667,0
k1_23a,8.33E-05,0
k1_24,16.66666667,0
k1_24r,0.166666667,0
k1_25,16.66666667,0
k1_25R,0.166666667,0
k1_26,166.6666667,0
k1_26r,3.333333333,0
k1_28,0.003333333,0
k1_2aa,0.016666667,1
k1_30,0.333333333,1
k1_31,0.011666667,0
k1_32,0.03,0
k1_34,0.000833333,0
k1_3a,0.125,1
k1_6a,0.166666667,1
k1_8a,0.001666667,1
k1_eps,1,0
k1_GMprod,0.002,0
k1_J4,0.01,1
k1_myc,0.924,0
k1_mycDeg,0.002,0
k1_myctDeg,0.0231,0
k1_mycTsl,0.004,0
k2_11a,0,0
k2_15,0.004166667,0
k2_17,0.166666667,0
k2_19a,0,0
k2_1a,0.001666667,1
k2_23,0.016666667,0
k2_29,0.000833333,1
k2_2a,0.000833333,0
k2_3,2.333333333,0
k2_33,0.000833333,0
k2_4,0.666666667,0
k2_5,0.333333333,1
k2_6,1.666666667,0
k2_7a,0,0
k2_8,0.033333333,0
k2_9,0.041666667,1
k2_GMprod,40,0
k2_j13,0.005,0
k2_j14,0.005,0
k2_j31,0.01,0
k2_j32,0.01,0
k2_la,3,0
k2_mu,0.001016667,0
k2_r31switch,1,0
k3_1,0.01,0
k3_11,0.025,1
k3_2,0.333333333,0
k3_7,0.01,1
k3_ga,0.3,0
k3_ha,0.5,0
k3_j15,0.1,0
k3_j17,0.3,0
k3_J3,0.01,0
k3_lb,5,0
k3_newSwitch,1,0
k3_pp1t,1,0
k3_yb,0.05,0
k4_17a,0.005833333,0
k4_21,1,0
k4_gb,1,0
k4_hb,1,0
k4_j1,0.1,0
k4_ld,3.3,0
k4_ye,1,0
k5_fb,2,0
k5_ge,0,0
k5_he,0.5,0
k5_j8,0.1,0
k5_le,5,0
k6_fe,25,0
