parameter,value,distribute
k1_1,2.4E-05,0
k1_2,6E-05,0
k1_3,0.6,0
k1_4,6E-05,0
k1_5,0.06,0
k1_6,6E-06,0
k1_7,0.06,0
k1_8,60,0
k1_9,6E-05,0
k1_10,0.06,0
k1_11,6E-06,0
k1_12,0.06,0
k1_13,60,0
k1_14,6E-06,0
k1_15,0.06,0
k1_16,60,0
k1_17,6E-06,0
k1_18,0.06,0
k1_19,60,0
k1_20,0.00012,0
k1_21,0.06,0
k1_22,6,0
k1_23,6E-05,0
k1_24,0.06,0
k1_25,1200,0
k1_26,6E-06,0
k1_27,0.06,0
k1_28,60,0
k1_29,6E-05,0
k1_30,0.06,0
k1_31,6E-06,0
k1_32,0.06,0
k1_33,60,0
k1_34,0.6,0
k1_35,60,0
k1_36,0.000857142,0
k1_37,0.06,0
k1_38,0.000857142,0
k1_39,0.06,0
k1_40,0.000857142,0
k1_41,0.06,0
k1_42,0.000857142,0
k1_43,0.06,0
k1_44,0.000857142,0
k1_45,0.06,0
k1_46,0.000857142,0
k1_47,0.06,0
k1_48,60,0
k1_49,0.001714284,0
k1_50,0.06,0
k1_51,600,0
k1_52,0.001714284,0
k1_53,0.06,0
k1_54,600,0
k1_55,60,0
k1_56,0.6,0
k1_57,3E-05,0
k1_58,0.06,0
k1_59,60,0
k1_60,3E-06,0
k1_61,0.06,0
k1_62,3E-07,0
k1_63,0.06,0
k1_64,60,0
k1_65,60,0
k1_66,0.6,0
k1_67,0.00012,0
k1_68,0.06,0
k1_69,0.00042,0
k1_70,0.06,0
k1_71,2.312439,0
k1_72,0.011552453,0
k1_73,1.15719366,1
k1_74,0.011552453,1
k1_75,0.011552453,1
k1_76,233.5190668,1
k1_77,0.011552453,1
k1_78,21.17160684,1
k1_79,0.034657359,1
k1_80,0.11552453,1
k1_81,477.0945418,1
k1_82,0.011552453,1
k1_83,246.0454817,1
k1_84,0.011552453,1
k1_85,0.011552453,1
k1_86,1201.64059,1
k1_87,0.011552453,1
k1_88,1,1
k1_89,0.011552453,1
k1_90,0.011552453,1
k1_91,0.011552453,1
k1_92,0.011552453,1
k1_93,0.11552453,1
k1_94,0.11552453,0
k1_95,69320.99712,0
k1_96,0.011552453,1
k1_97,69315.2463,1
k1_98,0.011552453,1
k1_99,0.011552453,1
k1_100,0.011552453,1
k1_101,7156.427022,1
k1_102,0.011552453,1
k1_103,0.011552453,1
k1_104,6942.820698,1
k1_105,0.011552453,1
k1_106,0.11552453,1
k1_107,0.011552453,0
k1_108,11571.19928,1
k1_109,0.011552453,1
k1_110,0.069314718,1
k1_111,0.0611505,0
k1_112,0.001444057,1
k1_113,5776.270527,1
k1_114,0.011552453,1
k1_115,0.11552453,1
k1_116,0.000174,1
k2_eps,1,0
