Substrate,Products,Kinetic Law, Modifiers, Parameters
RelA p50,RelAp50,Mass Action Binding,,k1_RelAp50binding
RelAn p50n,RelAnp50n,Mass Action Binding,,k1_RelAnp50nbinding
RelA p52,RelAp52,Mass Action Binding,,k1_RelAp52binding
RelAn p52n,RelAnp52n,Mass Action Binding,,k1_RelAnp52nbinding
RelB p52,RelBp52,Mass Action Binding,,k1_RelBp52binding
RelBn p52n,RelBnp52n,Mass Action Binding,,k1_RelBnp52nbinding
RelB p50,RelBp50,Mass Action Binding,,k1_RelBp50binding
RelBn p50n,RelBnp50n,Mass Action Binding,,k1_RelBnp50nbinding
cRel p50,cRelp50,Mass Action Binding,,k1_cRelp50binding
cReln p50n,cRelnp50n,Mass Action Binding,,k1_cRelnp50nbinding
cRel p52,cRelp52,Mass Action Binding,,k1_cRelp52binding
cReln p52n,cRelnp52n,Mass Action Binding,,k1_cRelnp52nbinding
p50 p50,p50p50,Mass Action Binding,,k1_p50p50binding
p50n p50n,p50np50n,Mass Action Binding,,k1_p50np50nbinding
p52 p52,p52p52,Mass Action Binding,,k1_p52p52binding
p52n p52n,p52np52n,Mass Action Binding,,k1_p52np52nbinding
RelAp50,RelA p50,Mass Action,,k1_RelAp50unbinding
RelAnp50n,RelAn p50n,Mass Action,,k1_RelAnp50nunbinding
RelAp52,RelA p52,Mass Action,,k1_RelAp52unbinding
RelAnp52n,RelAn p52n,Mass Action,,k1_RelAnp52nunbinding
RelBp52,RelB p52,Mass Action,,k1_RelBp52unbinding
RelBnp52n,RelBn p52n,Mass Action,,k1_RelBnp52nunbinding
RelBp50,RelB p50,Mass Action,,k1_RelBp50unbinding
RelBnp50n,RelBn p50n,Mass Action,,k1_RelBnp50nunbinding
cRelp50,cRel p50,Mass Action,,k1_cRelp50unbinding
cRelnp50n,cReln p50n,Mass Action,,k1_cRelnp50nunbinding
cRelp52,cRel p52,Mass Action,,k1_cRelp52unbinding
cRelnp52n,cReln p52n,Mass Action,,k1_cRelnp52nunbinding
p50p50,p50 p50,Mass Action,,k1_p50p50unbinding
p50np50n,p50n p50n,Mass Action,,k1_p50np50nunbinding
p52p52,p52 p52,Mass Action,,k1_p52p52unbinding
p52np52n,p52n p52n,Mass Action,,k1_p52np52nunbinding
RelAp50,RelAnp50n,Mass Action,,k1_NFkBImport
RelAnp50n,RelAp50,Mass Action,,k1_NFkBExport
RelAp52,RelAnp52n,Mass Action,,k1_NFkBImport
RelAnp52n,RelAp52,Mass Action,,k1_NFkBExport
RelBp52,RelBnp52n,Mass Action,,k1_NFkBImport
RelBnp52n,RelBp52,Mass Action,,k1_NFkBExport
RelBp50,RelBnp50n,Mass Action,,k1_NFkBImport
RelBnp50n,RelBp50,Mass Action,,k1_NFkBExport
