parameter,value
k3_1,0.6
k1_10,5
k3_11,1.5
k2_11a,0
k1_12,1.5
k1_13,5
k1_14,2.5
k2_15,0.25
k1_16,0.25
k2_17,10
k4_17a,0.35
k1_18,10
k1_19,20
k2_19a,0
k2_1a,0.1
k3_2,20
k1_20,10
k4_21,1
k1_22,1
k2_23,1
k1_23a,0.005
k1_24,1000
k1_24r,10
k1_25,1000
k1_25R,10
k1_26,10000
k1_26r,200
k1_27,0.2
k1_28,0.2
k2_29,0.05
k2_2a,0.05
k1_2aa,1
k2_3,140
k1_30,20
k1_31,0.7
k1_32,1.8
k2_33,0.05
k1_34,0.05
k1_3a,7.5
k2_4,40
k2_5,20
k2_6,100
k1_6a,10
k3_7,0.6
k2_7a,0
k2_8,2
k1_8a,0.1
k2_9,2.5
k1_eps,1
k5_fb,2
k6_fe,25
k3_ga,0.3
k4_gb,1
k5_ge,0
k3_ha,0.5
k4_hb,1
k5_he,0.5
k4_j1,0.1
k2_j13,0.005
k2_j14,0.005
k3_j15,0.1
k3_j17,0.3
k3_J3,0.01
k2_j31,0.01
k2_j32,0.01
k1_J4,0.01
k5_j8,0.1
k2_la,3
k3_lb,5
k4_ld,3.3
k5_le,5
k2_mu,0.061
k3_pp1t,1
k2_r31switch,1
k3_yb,0.05
k4_ye,1
