parameter,value,distribute
k1_s_IRF4,1,1
k2_div_IRF4,3,0
k3_x_IRF4,7.5,0
k4_n_IRF4,2,0
k5_a_IRF4,1,0
k6_e_IRF4,p[1],0
k7_divcRel_IRF4,40,0
k8_kxcRel_IRF4,7.5,0
k9_divRelA_IRF4,40,0
k10_kxRelA_IRF4,7.5,0
k1_IRF4Deg,1,1
k1_s_Blimp1,1,1
k2_div_Blimp1,1,0
k3_x_Blimp1,7.5,0
k4_n_Blimp1,2,0
k5_a_Blimp1,3,0
k6_e_Blimp1,1,0
k7_divcRel_Blimp1,1,0
k8_acRel_Blimp1,3,0
k9_kr_Blimp1,1,0
k10_nr_Blimp1,2,0
k1_Blimp1Deg,1,1
k1_e_pax5,2,1
k2_kr_pax5,1,0
k3_nr_pax5,2,0
k1_Pax5Deg,1,0
k1_s_Bcl6,1,0
k2_kx_bcl6,7.5,0
k3_n_bcl6,1,0
k4_ka_bcl6,1,0
k5_s2_Bcl6,1,0
k6_kx_Bcl6,7.5,0
k7_n2_Bcl6,1,0
k8_kr_bcl6,1,0
k9_nr_bcl6,2,0
k1_Bcl6Deg,1,1
k1_s1_AID,1,0
k2_kx1_AID,0.375,0
k3_n1_AID,1,0
k4_ka1_AID,1,0
k5_kx2_AID,0.375,0
k6_kx3_AID,0.375,0
k1_AIDDeg,0.1,1
k1_e_cRel,p[2],0
k2_kr_cRel,1,0
k3_nr_cRel,2,0
k1_cRelDeg,0.1,0
k1_expRelA,p[3],0
k1_cRelDeg,0.1,0
k6_e_IRF4NotSampled,1,0
