parameter,value,distribute
basal_cRelSynth,3.6E-06,1
k1_bcl2Exp,2.6,1
k1_bcl2tDeg,0.007,1
k1_cRelSynth,20,1
k1_cycDExp,0.003,1
k1_CycDt,0.1667,1
k1_cycDtDeg,0.002,1
k1_eps,1,0
k1_GMprod,0.002,1
k1_monDeg,0.0228,1
k1_mycDeg,0.002,1
k1_mycExp,1,1
k1_myctDeg,0.0231,1
k1_mycTsl,0.004,0
k1_s_IRF4,1,1
k10_kxRelA_IRF4,7.5,0
k8_kxcRel_IRF4,7.5,0
k2_bcl2Exp,0.3,0
k2_cRelSynth,20,0
k2_cycDExp,0.45,0
k2_div_IRF4,3,0
k2_GMprod,40,0
k2_muLink,0.004,0
k2_mycExp,0.45,0
k3_bcl2Exp,0.6,0
k3_cRelSynth,20,0
k3_cycDExp,0.45,0
k3_mycExp,0.45,0
k3_x_IRF4,7.5,0
k4_bcl2Exp,0.1,0
k4_cRelSynth,20,0
k4_cycDExp,0.1,0
k4_mycExp,0.1,0
k4_n_IRF4,2,0
k5_a_IRF4,1,0
k5_bcl2Exp,"tdfunc",0
k5_cycDExp,"tdfunc",0
k5_mycExp,"tdfunc",0
k6_bcl2Exp,40,0
k6_cycDExp,40,0
k6_e_IRF4,0,0
k6_mycExp,40,0
k7_bcl2Exp,2,0
k7_cycDExp,2,0
k7_divcRel_IRF4,5,0
k7_mycExp,2,0
k8_bcl2Exp,1,0
k8_cycDExp,1,0
k8_cRel_IRF4,10,0
k8_mycExp,1,0
k9_bcl2Exp,0.01,0
k9_cycDExp,0.01,0
k9_divRelA_IRF4,20,0
k9_mycExp,0.01,0
Kd1_cRelSynth,150,0
Kd2_cRelSynth,150,0
Kd3_cRelSynth,150,0
Kd4_cRelSynth,150,0
kh_cRelSynth,1,0
kr1_blimpCrel,1,0
nr1_blimpCrel,2,0
scale_ind,10000,0
k2_Lexp,1,0
k1_111,0,0
k1_112,0,0
k2_eps,1,0
k1_massDeg,0.002,0
