Rate Law Name, Rate law definition
Mass Action,[s1] * {k1}
Mass Action Modifier,[s1] * [mod1]
Cdh1 exp equation,({k1} + {k2} * [mod1]) * (1 - [mod2]) / (1 + {k3} - [mod2])
Cdh1 deg equation,({k2} * ({k3} * [mod1] + {k4} * [mod2] + {k5} * [mod3])) * [s1] / ({k1} + [s1])
IEP exp equation,{k1} * [mod1] * (1 - [mod2]) / (1 + {k2} - [mod2])
IEP deg equation,{k1} * [s1] * [mod1] / ({k2} + [s1])
Cdc20 exp equation,{k1} * (-[mod1] + [mod2]) * [mod3] / ({k2} - [mod1] + [mod2])
Cdc20 deg equation,{k1} * [s1] /({k2}+[s1])
E2F_Rb diss equation,{k1} * ({k2} * [mod1] + {k3} * [mod2] + {k4} * ([mod3] + [mod4]) + {k5} * [mod5]) * [s1]
Mass Action Param Modifier,{k1} * [s1] * [mod1]
Mass gain reaction,{k1} * {k2} * [mod1]
ERG exp reacion,{k1} * {k2} / (1 + [mod1]^2 / {k3}^2)
Exp basal plus mod,{k1}*({k2}+{k3}*[mod1])
CycA exp,{k1}*{k2}*[mod1]*[mod2]
Exp 2 param,{k1}*{k2}
Exp 2 param 1 mod,{k1}*{k2}*[mod1]
DRG exp reaction,{k1} * ({k2} * [mod1]^2 / ({k3}^2 * (1 + [mod1]^2 / {k3}^2)) + {k4} * [mod2])
cycB exp reaction,{k1} * ({k2} + {k3} * [mod1]^2 / ({k4}^2 * (1 + [mod1]^2 / {k4}^2)))
Rb phos,({k1} *  ({k3} / (1 + {k4} * ({k5} * [mod1] + {k6} * ([mod2] + [mod3])))) + {k2} * ({k3} - ({k3} / (1 + {k4} * ({k5} * [mod1] + {k6} * ([mod2] + [mod3])))))) * [s1]
E2F phos,({k1} + {k2} * ([mod1] + [mod2])) * [s1]
Mass Action Binding,[s1]*[s2]*{k1}
Mass Action Modifier V2,[s1] * ({k1} * [mod1] + {k2} * (1 -[mod2]) + {k3} * [mod2])
Mass Action Modifier V6,[s1] * ({k1} + {k2} * ({k3} * [mod1] + {k4} * [mod2] + {k5} * [mod3]))
Mass Action Modifier V8,[s1] * ({k1} + {k2} * ({k3} * [mod1] + {k4} * ([mod2] + [mod3])) / (([mod4] + [mod3]) + {k5}))
Mass gain reaction switch,{k1} * [mod1] * [mod2]
Hill Promotion Induction NFkB four one rep,({basal} + ((({k1} * (([mod1]/ {Kd1}).^{kh}))+({k2} * (([mod2]/{Kd2}).^{kh}))+({k3} * (([mod3]/ {Kd3}).^{kh}))+({k4} * (([mod4]/ {Kd4}).^{kh})))/ (1+(({k1} * (([mod1]/{Kd1}).^{kh}))+({k2} * (([mod2]/ {Kd2}).^{kh}))+({k3} * (([mod3]/{Kd3}).^{kh}))+({k4} * (([mod4]/ {Kd4}).^{kh})))))./{scale})*(({kr1}^{nr1})/({kr1}^{nr1}+[mod5]^{nr1}))
nfkb dep exp basal,"maximum([{k1}*(((({k2}*[mod1]+{k3}*[mod2]+{k4}*{k5})/{k6})^{k7})/({k8}+((({k2}*[mod1]+{k3}*[mod2]+{k4}*{k5})/{k6})^{k7}))*(1-{k9})+{k9}),{k1}/100])"
transcript tsl,{k1}*[mod1]
Mass gain reaction switch Myc plus Mass2,{k1}*([mod1]*[mod4])*((([mod2]/{k2})^2)/(1+([mod2]/{k2})^2) * (2.8*[mod3] ^2)*exp(-0.14*[mod3] ^2))
nfkb dep exp,{k1}*(((({k2}*[mod1]+{k3}*[mod2]+{k4}*{k5})/{k6})^{k7})/({k8}+((({k2}*[mod1]+{k3}*[mod2]+{k4}*{k5})/{k6})^{k7}))*(1-{k9})+{k9})
remove,0
no rate,0
