Rate Law Name, Rate law definition
Mass Action,[s1] * {k1}
Mass Action Modifier,[s1] * [mod1]
Cdh1 exp equation,({k1} + {k2} * [mod1]) * (1 - [mod2]) / (1 + {k3} - [mod2])
Cdh1 deg equation,({k2} * ({k3} * [mod1] + {k4} * [mod2] + {k5} * [mod3])) * [s1] / ({k1} + [s1])
IEP exp equation,{k1} * [mod1] * (1 - [mod2]) / (1 + {k2} - [mod2])
IEP deg equation,{k1} * [s1] * [mod1] / ({k2} + [s1])
Cdc20 exp equation,{k1} * (-[mod1] + [mod2]) * [mod3] / ({k2} - [mod1] + [mod2])
Cdc20 deg equation,{k1} * [s1] /({k2}+[s1])
E2F_Rb diss equation,{k1} * ({k2} * [mod1] + {k3} * [mod2] + {k4} * ([mod3] + [mod4]) + {k5} * [mod5]) * [s1]
Mass Action Param Modifier,{k1} * [s1] * [mod1]
Mass gain reaction,{k1} * {k2} * [mod1]
ERG exp reacion,{k1} * {k2} / (1 + [mod1]^2 / {k3}^2)
Exp basal plus mod,{k1}*({k2}+{k3}*[mod1])
CycA exp,{k1}*{k2}*[mod1]*[mod2]*[mod3]
Exp 2 param,{k1}*{k2}
Exp 2 param 1 mod,{k1}*{k2}*[mod1]
DRG exp reaction,{k1} * ({k2} * [mod1]^2 / ({k3}^2 * (1 + [mod1]^2 / {k3}^2)) + {k4} * [mod2])
cycB exp reaction,{k1} * ({k2} + {k3} * [mod1]^2 / ({k4}^2 * (1 + [mod1]^2 / {k4}^2)))
Rb phos,({k1} *  ({k3} / (1 + {k4} * ({k5} * [mod1] + {k6} * ([mod2] + [mod3])))) + {k2} * ({k3} - ({k3} / (1 + {k4} * ({k5} * [mod1] + {k6} * ([mod2] + [mod3])))))) * [s1]
E2F phos,({k1} + {k2} * ([mod1] + [mod2])) * [s1]
Mass Action Binding,[s1]*[s2]*{k1}
Mass Action Modifier V2,[s1] * ({k1} * [mod1] + {k2} * (1 -[mod2]) + {k3} * [mod2])
Mass Action Modifier V6,[s1] * ({k1} + {k2} * ({k3} * [mod1] + {k4} * [mod2] + {k5} * [mod3]))
Mass Action Modifier V8,[s1] * ({k1} + {k2} * ({k3} * [mod1] + {k4} * ([mod2] + [mod3])) / (([mod4] + [mod3]) + {k5}))
Mass gain reaction switch,{k1} * [mod1] * [mod2]
Constant Rate,{k1}
transcript tsl,{k1}*[mod1]
Mass gain reaction switch Myc,{k1} * 0.01 * [mod1] + {k1} * 0.99 * (([mod2]/{k2})^2)/(1+([mod2]/{k2})^2) * [mod3]
Mass gain reaction switch Myc plus Mass2,{k1}*([mod1]*[mod4])*((([mod2]/{k2})^2)/(1+([mod2]/{k2})^2) * (2.8*[mod3] ^2)*exp(-0.14*[mod3] ^2))
No Rate,0
